aka1
aka2
bg0,furiker_c
bg_002,damu2
bg_011,denwa
bg_013,eki
bg_046a,kuruma3
bg_023,mo_g1
bg_027,ryoutei2_01
bg_034,heya1
bg_039,m_hi3
bg_046,m_hi4
bg_048,jt1
bg_049,hi3
bg_049a,m_hi8
bg_050a,ta2
bg_051,hi5
bg_053,m_hi6
bg_054,so2
bg_055,hi4
bg_056,hoteru
bg_062,hu_r1
bg_066,ie1
bg_069,ima1
bg_070,ima3
bg_071,jansou
bg_075,ji2
bg_083,juku1_01
bg_088,hi9
bg_089,ke5
bg_091,ke1
bg_093,g1
bg_093a,gr2
bg_099,kukou1
bg_100,kuruma1
bg_101,kuruma2
bg_102,kuruma3_01
bg_103,kuruma4
bg_105,kuruma6
bg_106,kuruma5_01
bg_107,susuki
bg_122,moon
bg_125,mati3
bg_134,mati12
bg_137,mati7
bg_139,mati2
bg_142,mo2
bg_146a,hi_scroll
bg_152,jok2
bg_161,res1
bg_165,res5
bg_171,torishirabeshitu
bg_173,ke2
bg_182,simen3
bg_184,sinryou_matiai1
bg_186b,sinryou_sinsatu2
bg_192,ke_s2
bg_193,ke_s2
bg_194,so_d1
bg_195,so_g1
bg_197,rouka1
bg_198,so1
bg_200,so3
bg_203,sora5
bg_203a,sora
bg_203c,mo_b1
bg_207a,sinryou_sinsatu4
bg_208,m_y4_01
bg_210,ma_s1
bg_213,js1
bg_214,ta1
bg_223,kimi_o1_08
bg_245,jy2
bg_250,m_y2
bg_252,m_y4
bg_262,jyt1
bg_263,jyt2
file
furiker_a
furiker_b
Night/bg_074a,jys1
Night/bg_104,kuruma5
Night/bg_160,y_oni1
Night/bg_184,sinryou_matiai1_01
Night/bg_186a,sinryou_soto1_01
Night/bg_254,m_y7
Night/bg_254a,m_y1
note,nort
Rain/bg_097,koya1_02
Rain/bg_101,kuruma2_01
Rain/bg_141,mo1_02
Rain/bg_142,mo2_02
Rain/bg_143,mo3_02
Rain/bg_144,mo4_02
ryuuketu1
scenario_a,moon
Sunset/bg_034,heya1_05
Sunset/bg_034a,heya1_04
Sunset/bg_074,ji1_01
Sunset/bg_076,ji2_01
Sunset/bg_100,kuruma1_02
Sunset/bg_101,kuruma2_02
Sunset/bg_186,sinryou_sinsatu1_02
Sunset/bg_204,sora2
Sunset/bg_206,so_d1_01
Sunset/bg_213,js1_01
Sunset/bg_216,jt1_01
Sunset/bg_217,jt2_01
Sunset/bg_223,js4_01
