aka1
aka2
bg0,furiker_c
bg_171,torishirabeshitu
bg_172,ke2
bg_176,saiguden_01
bg_263,jyt2
bg_undergr1,so_chikafuroa
bg_undergr2,so_chikaido1
denwa
eki2,eki
f_a,furiker_a
f_b,furiker_b
g1
g2
ga1
gk1,gk3
gk3,gk1
gr2,gr1
GR3,gr3
Heya2,heya1
heya4,ima3
hi2,hi1
ho1_houjouke,ho1
Ho2_Houjouke,ho1_01
hoteru
ho_r1
Hu_R1,hu_r1
ie2,ie1
ima1
ima3,rouka1_01
je2
je3,je1
je4,jd4
ji2
ji5,ji1
JOK2,jys1
js1,js1_01
js4,js4_01
jsa2-,js3_01
jsa2,jsa7_01
jsa7
jy1
jy2
JYSA1--,jysa1
JYSA1,jsa1
ke1--,ke1
ke1,ke1_01
ke5
ke_ky1
Ke_S2,ke_s2
ke_shiryou1_02
kouen,k_kouen1
kouen2,k_kouen1_01
kuruma4
kuruma5
kuruma5_01
kuruma6
kuruma8,kuruma5_02
Ma2,ma2
Ma5,ma5
mati0,mati_o2
mati1,mati_o1
mati2
mati3-,mati3_01
mati3
mati4
mati6,mati2_01
mo3-,mo3_01
Mo3,mo2
Mo4,mo3
Mo5,so3
moon
Mo_G1-,mo_g1_01
M_Hi2,m_hi3
M_Hi6,m_hi6
M_Hi9,mob1_01
M_Y1,m_y7
M_Y4,m_y4
M_Y6,m_y1
nort
oki_g3
oni1,y_oni1
re4,res4
re5,res5
re_s1_resut,res_s1
re_tel
rouka1
rouka3,rouka1_02
ryuuketu1
scenario_a,moon_01
sgtitle990000,so2
simen2,simen3
si_g1
si_h2
si_h3
si_h6
si_mansion
so1-,so1_02
So1,so1
so5,so5
so6
sora2
sora3,sora
sora4,sora_01
So_D1,so_d1_01
So_G1,so_g1
So_K1,so_k1
tennai1
tirasi1
tosyo1
tosyo7,ke_ky2
Tosyo8,tosyo2
YHu2,yhu2
ymo1
ymo2
ymo3
Y_Ie2,y_ie1
