aka1
aka2
bg_001,damu2
bg_003,damu4
bg_005,kawa4
bg_006,kawa1
bg_010,jd4
bg_010b,jd4_01
bg_011,denwa
bg_012,eki
bg_014,je1
bg_017,je2
bg_019,g2
bg_020,ma_g1
bg_021,ma_g2
bg_022,ma_g3_01
bg_022b,ma_g3_02
bg_023,mo_g1
bg_024,mo_g2
bg_027,gr1
bg_028,gr2
bg_029,hasi1
bg_032,hasi3
bg_038,m_hi1
bg_039,m_hi3
bg_041,m_hi4
bg_042,m_hi5
bg_043,m_hi6
bg_044,m_hi8
bg_049,hi3
bg_050,hi4
bg_051,hi5
bg_066,ie1
bg_074,ji1
bg_075,ji2
bg_077,ji6
bg_080,ma_j3
bg_081,ma_j3_01
bg_085,jok1
bg_092,mo_b1
bg_093,g1
bg_094,gr3
bg_100,kuruma1
bg_108,gk3
bg_110,gk1
bg_111,ke_ky1
bg_112,ke_ky2
bg_117,ma1
bg_118,ma2
bg_119,ma3
bg_124,mati2
bg_141,mo1
bg_142,mo2
bg_143,mo3
bg_159,oni1
bg_161,res1
bg_162,res2
bg_165,res5
bg_170,ma_d1
bg_170b,ma_d1_01
bg_180,simen3
bg_184,sinryou_matiai1
bg_186,sinryou_sinsatu1
bg_187,sinryou_soto1
bg_188,sinryou_soto3
bg_192,ke_s2
bg_203,sora5
bg_204,sora6
bg_208,oki_g3
bg_210,ma_s1
bg_211,g3
bg_216,jt1
bg_217,jt2
bg_219,tegami1
bg_220,tegami2
bg_221,tegami3
bg_222,tennai1
bg_223,ke5
bg_237,mati7
bg_239,y_damu2
bg_245,jy2
bg_247,y_kawa3
bg_249,m_y1
bg_252,m_y4
bg_254,m_y2
bg_ceiling,hu_tenjyou
furiker_a,furiker_a
Furiker_a,furiker_a
Furiker_b,furiker_b
furiker_b,furiker_b
haikei,jt1_01
js3
ryuuketu1,ryuuketu1_01
scenario_a,moon
