aka1
aka2
bg0,furiker_c
bg_003,damu4
bg_010,jd4
bg_011,denwa
bg_015,je1
bg_019,g2
bg_019a,g2_01
bg_020,ma_g1
bg_022,ma_g3_01
bg_027,gr1
bg_028,gr2
bg_028a,gr2_01
bg_029,hasi1
bg_030,hasi3
bg_038,m_hi1
bg_038a,m_hi1_01
bg_040,m_hi3
bg_040a,m_hi3_01
bg_041,m_hi4
bg_041a,m_hi4_01
bg_042,m_hi5
bg_042a,m_hi5_01
bg_043a,m_hi6_01
bg_044,m_hi8
bg_046,hi_scroll
bg_046a,m_hi6
bg_046b,m_y2_02
bg_046c,hi_scroll_01
bg_047,hi1
bg_049,hi3
bg_050,hi4
bg_050a,hi4_01
bg_051,hi5
bg_051a,hi5_01
bg_052,jt1
bg_057,ho_2
bg_058,ho_r1
bg_059,ho1
bg_059a,ho1_02
bg_066,ie1
bg_066a,ie1_01
bg_068a,heya1_04
bg_068b,heya1_05
bg_070,ima3
bg_071,jansou
bg_074,ji1
bg_074a,ji1_01
bg_076,ji2
bg_076a,ji2_01
bg_077,ji6
bg_078,js1
bg_078a,js1_01
bg_079,ji6
bg_080,ma_j3
bg_082,ma_j3_01
bg_082b,ma_j3_03
bg_086,kawa1
bg_093,g1
bg_093a,g1_01
bg_094,gr3
bg_095a,gy3_01
bg_100a,kuruma1_02
bg_101,kuruma2
bg_101a,kuruma2_02
bg_102,kuruma3_01
bg_102a,kuruma3_02
bg_103a,kuruma4_01
bg_104,kuruma4
bg_104a,kuruma5_03
bg_108,gk1
bg_109,gk3
bg_109a,yugk3_01
bg_115,ma_d1
bg_117,ma1
bg_117a,ma1_02
bg_118,ma2
bg_118a,ma2_01
bg_118b,ma1_01
bg_120,ma3
bg_120a,ma3_02
bg_120b,ma3_01
bg_121,ma5
bg_121a,ma5_01
bg_122,moon
bg_123,mati2
bg_125,mati3
bg_126,mati4
bg_133,mati4
bg_141,mo1
bg_141a,mo1_01
bg_142,mo2
bg_142a,ymo2_01
bg_142b,mo2_02
bg_143,mo3
bg_144,mo4
bg_150,oki_g3
bg_151,jok1
bg_153,mati_o1
bg_159,oni1
bg_161,res1
bg_165,res5
bg_170,ma_d1
bg_175,jsa1
bg_177,jsa7
bg_180,simen3
bg_184,sinryou_matiai1
bg_186,sinryou_sinsatu1
bg_186a,sinryou_sinsatu1_02
bg_187,sinryou_soto1
bg_187a,sinryou_soto1_02
bg_188,sinryou_soto3
bg_192,ke_s2
bg_198a,so1_02
bg_199a,so2_01
bg_203,sora5
bg_203a,sora
bg_204,sora6
bg_204a,sora2
bg_208,oki_g3
bg_210,ma_s1
bg_211,g3
bg_211a,g3_01
bg_217,jt2
bg_222,tennai1
bg_245,jy2
bg_253a,m_y2_04
bg_254a,m_y4
bg_255,m_y7
bg_256a,ymo1_01
bg_256b,mo1_02
bg_258a,mo3_01
bg_258b,ymo3_01
bg_259a,y_oni1_01
fire,honoo
furiker_a
furiker_b
haikei,jt1_01
ryuuketu1
